ZIP,total_evs,total_charging_stations,median_income,evs_per_station
98812,33.0,0.0,42.33801653,33.0
98925,33.0,0.0,,33.0
99036,33.0,0.0,77.94166667,33.0
98948,31.0,4.0,31.4437276,6.2
99161,31.0,1.0,54.2119403,15.5
98351,30.0,0.0,56.62432432,30.0
98295,30.0,0.0,46.88018018,30.0
98241,30.0,1.0,42.5393617,15.0
99169,30.0,8.0,54.53826087,3.3333333333333335
99111,30.0,0.0,56.42380952,30.0
98537,29.0,0.0,46.588,29.0
98304,29.0,4.0,42.26470588,5.8
98844,29.0,2.0,41.15642458,9.666666666666666
98610,28.0,0.0,53.31344538,28.0
99148,28.0,0.0,50.94130435,28.0
98855,28.0,1.0,40.29782609,14.0
99011,27.0,4.0,35.15233645,5.4
98356,27.0,4.0,45.4908046,5.4
98847,27.0,0.0,46.96111111,27.0
98833,26.0,1.0,,13.0
98638,26.0,0.0,47.45384615,26.0
99328,26.0,2.0,48.56883117,8.666666666666666
98331,25.0,8.0,47.27834101,2.7777777777777777
98850,25.0,0.0,36.23802817,25.0
98603,25.0,0.0,61.41818182,25.0
99166,23.0,1.0,50.25508475,11.5
98857,23.0,0.0,49.71325301,23.0
98947,22.0,0.0,41.185,22.0
99326,22.0,2.0,46.96571429,7.333333333333333
98624,22.0,0.0,59.60338983,22.0
98158,21.0,0.0,,21.0
98547,21.0,0.0,40.67884615,21.0
98323,21.0,0.0,52.22258065,21.0
98355,21.0,0.0,47.235,21.0
99115,20.0,2.0,48.3122449,6.666666666666667
98286,20.0,0.0,,20.0
99031,20.0,1.0,59.48983051,10.0
98639,19.0,0.0,,19.0
98555,18.0,0.0,43.87083333,18.0
99323,18.0,2.0,57.46024845,6.0
99360,17.0,0.0,57.87192982,17.0
98542,16.0,0.0,40.252,16.0
98345,16.0,2.0,,5.333333333333333
98585,16.0,0.0,49.659375,16.0
99402,16.0,0.0,71.74938272,16.0
98935,15.0,0.0,35.33846154,15.0
98276,15.0,0.0,46.93103448,15.0
99181,15.0,0.0,42.31111111,15.0
98840,15.0,2.0,44.84719101,5.0
99343,15.0,0.0,49.3,15.0
98617,15.0,0.0,,15.0
98593,15.0,0.0,41.38,15.0
98932,14.0,0.0,31.13349057,14.0
98377,14.0,3.0,40.88194444,3.5
99133,14.0,0.0,48.96617647,14.0
98605,13.0,3.0,51.68769231,3.25
99361,13.0,1.0,58.556,6.5
99170,13.0,2.0,50.39333333,4.333333333333333
98035,13.0,0.0,,13.0
98590,13.0,1.0,48.83684211,6.5
98938,13.0,0.0,43.3825,13.0
99023,12.0,0.0,69.37391304,12.0
99029,12.0,0.0,47.52428571,12.0
98535,12.0,1.0,39.63157895,6.0
98946,12.0,0.0,44.20434783,12.0
98288,12.0,2.0,,4.0
98533,12.0,0.0,43.5,12.0
98220,12.0,0.0,43.66764706,12.0
99110,11.0,0.0,45.42622951,11.0
98357,11.0,3.0,,2.75
99116,11.0,1.0,49.21,5.5
99119,11.0,2.0,51.2375,3.6666666666666665
98846,11.0,2.0,42.41403509,3.6666666666666665
98649,11.0,0.0,57.65208333,11.0
98280,11.0,0.0,,11.0
98858,10.0,0.0,53.03283582,10.0
99126,10.0,0.0,47.06129032,10.0
98586,10.0,2.0,45.54137931,3.3333333333333335
98438,9.0,0.0,28.68653846,9.0
99330,9.0,0.0,43.44852941,9.0
98562,9.0,2.0,,3.0
98814,9.0,0.0,47.87,9.0
99101,9.0,0.0,42.75660377,9.0
99118,9.0,1.0,42.24814815,4.5
99123,8.0,0.0,56.88163265,8.0
98934,8.0,0.0,,8.0
99159,8.0,0.0,51.93934426,8.0
98634,8.0,0.0,,8.0
99167,8.0,0.0,40.98,8.0
98538,8.0,0.0,50.56842105,8.0
99113,8.0,0.0,56.63076923,8.0
99185,8.0,0.0,59.67966102,8.0
98336,8.0,1.0,41.30555556,4.0
98565,8.0,0.0,,8.0
99008,7.0,0.0,51.57777778,7.0
98224,7.0,0.0,,7.0
98381,7.0,0.0,48.6,7.0
98647,7.0,0.0,41.72,7.0
98621,7.0,0.0,,7.0
98923,7.0,0.0,42.51527778,7.0
98644,7.0,1.0,,3.5
98526,7.0,1.0,34.26153846,3.5
99341,7.0,0.0,42.92424242,7.0
98614,7.0,0.0,,7.0
98344,7.0,0.0,,7.0
48092,7.0,0.0,43.29348631,7.0
98832,7.0,0.0,27.23703704,7.0
99158,6.0,0.0,47.76153846,6.0
98845,6.0,0.0,,6.0
98267,6.0,3.0,36.66363636,1.5
98050,6.0,0.0,,6.0
98943,6.0,0.0,,6.0
99173,6.0,0.0,37.66140351,6.0
98385,6.0,1.0,,3.0
98314,6.0,3.0,,1.5
98206,5.0,0.0,,5.0
99322,5.0,0.0,62.64166667,5.0
98830,5.0,0.0,45.22,5.0
99179,5.0,0.0,56.64545455,5.0
99347,5.0,0.0,51.202,5.0
98817,5.0,0.0,,5.0
99130,5.0,0.0,48.88157895,5.0
98575,5.0,1.0,,2.5
98396,5.0,0.0,,5.0
98587,5.0,0.0,,5.0
98582,5.0,2.0,52.38387097,1.6666666666666667
99125,4.0,0.0,44.408,4.0
99040,4.0,0.0,33.91025641,4.0
80908,4.0,0.0,102.4345029,4.0
98643,4.0,0.0,44.60555556,4.0
76544,4.0,0.0,28.42486065,4.0
99030,4.0,0.0,53.80222222,4.0
99180,4.0,0.0,44.82826087,4.0
98243,4.0,0.0,,4.0
99171,4.0,0.0,50.33863636,4.0
99138,4.0,2.0,34.91111111,1.3333333333333333
98124,4.0,2.0,,1.3333333333333333
99139,4.0,0.0,48.81458333,4.0
98813,4.0,0.0,21.92566845,4.0
92109,4.0,0.0,71.19311284,4.0
22152,4.0,0.0,89.5295422,4.0
99147,4.0,0.0,,4.0
22314,4.0,0.0,136.4263299,4.0
98619,4.0,0.0,46.905,4.0
92058,4.0,0.0,40.99497519,4.0
99012,4.0,0.0,49.76923077,4.0
99013,4.0,0.0,40.50882353,4.0
91913,4.0,0.0,68.78229439,4.0
66027,4.0,0.0,60.61111111,4.0
93230,4.0,0.0,49.92211342,4.0
94501,4.0,0.0,75.13086101,4.0
98330,4.0,2.0,33.30714286,1.3333333333333333
23455,4.0,0.0,68.78302286,4.0
98834,4.0,0.0,40.89,4.0
98235,4.0,0.0,,4.0
99348,4.0,0.0,48.57454545,4.0
98527,4.0,0.0,,4.0
98849,3.0,0.0,37.39534884,3.0
98530,3.0,0.0,,3.0
92124,3.0,0.0,76.17875895,3.0
22151,3.0,0.0,74.56082005,3.0
97209,3.0,0.0,91.41207675,3.0
32536,3.0,0.0,52.78302387,3.0
99033,3.0,0.0,45.38378378,3.0
98952,3.0,1.0,34.76056338,1.5
30909,3.0,0.0,52.03697967,3.0
98256,3.0,0.0,,3.0
98819,3.0,0.0,,3.0
22308,3.0,0.0,158.3085284,3.0
99149,3.0,0.0,,3.0
99018,3.0,0.0,44.88181818,3.0
98616,3.0,1.0,66.83636364,1.5
92154,3.0,0.0,40.20389276,3.0
98431,3.0,0.0,,3.0
23707,3.0,0.0,39.2712828,3.0
23323,3.0,0.0,54.19155012,3.0
92630,3.0,0.0,68.00214837,3.0
20774,3.0,0.0,68.17563228,3.0
98641,3.0,0.0,,3.0
20755,3.0,0.0,49.2218845,3.0
78641,3.0,0.0,69.0197031,3.0
8641,3.0,0.0,39.73908046,3.0
98670,3.0,0.0,,3.0
98613,3.0,0.0,51.82222222,3.0
20171,3.0,0.0,120.7741218,3.0
80924,3.0,0.0,96.07749077,3.0
99134,3.0,0.0,50.44230769,3.0
95051,3.0,0.0,95.27654135,3.0
98933,3.0,0.0,45.345,3.0
98572,3.0,0.0,43.48529412,3.0
99117,3.0,0.0,49.78636364,3.0
98326,3.0,0.0,36.35833333,3.0
80111,3.0,0.0,150.4938667,3.0
98297,3.0,0.0,,3.0
78236,2.0,0.0,36.05901639,2.0
78253,2.0,0.0,64.76099518,2.0
99128,2.0,0.0,62.0,2.0
23435,2.0,0.0,73.40718799,2.0
99143,2.0,0.0,55.44230769,2.0
99135,2.0,0.0,55.81818182,2.0
99137,2.0,0.0,38.14,2.0
23322,2.0,0.0,78.71638398,2.0
94044,2.0,0.0,84.75602837,2.0
99155,2.0,0.0,31.38,2.0
22202,2.0,0.0,100.4385911,2.0
85250,2.0,0.0,76.00870044,2.0
11209,2.0,0.0,67.62429462,2.0
85268,2.0,0.0,95.42755682,2.0
98536,2.0,0.0,,2.0
13603,2.0,0.0,32.20271003,2.0
98544,2.0,0.0,,2.0
20003,2.0,0.0,99.65967957,2.0
20110,2.0,0.0,58.38146119,2.0
20601,2.0,0.0,64.15806189,2.0
80921,2.0,0.0,99.2322093,2.0
20619,2.0,0.0,75.45476603,2.0
20878,2.0,0.0,102.7812562,2.0
20882,2.0,0.0,115.3668148,2.0
21009,2.0,0.0,67.420191,2.0
21122,2.0,0.0,71.12902796,2.0
21146,2.0,0.0,117.4755556,2.0
89145,2.0,0.0,100.8076989,2.0
22015,2.0,0.0,91.87294686,2.0
23464,2.0,0.0,53.8006159,2.0
90064,2.0,0.0,181.4023384,2.0
22180,2.0,0.0,118.9456229,2.0
90068,2.0,0.0,114.3880235,2.0
98111,2.0,0.0,,2.0
98581,2.0,0.0,33.27333333,2.0
91911,2.0,0.0,40.03802164,2.0
99124,2.0,0.0,,2.0
98305,2.0,0.0,50.2,2.0
32218,2.0,0.0,42.73761923,2.0
92126,2.0,0.0,61.22551665,2.0
98939,2.0,0.0,,2.0
7029,2.0,0.0,43.00477897,2.0
97034,2.0,0.0,172.3454733,2.0
68123,2.0,0.0,57.9897752,2.0
32835,2.0,0.0,47.64908301,2.0
92310,2.0,0.0,42.50830325,2.0
92503,2.0,0.0,46.88393415,2.0
95747,2.0,0.0,83.05773556,2.0
92585,2.0,0.0,50.68720787,2.0
65049,2.0,0.0,58.34425287,2.0
98921,2.0,0.0,,2.0
92596,2.0,0.0,61.0191974,2.0
63368,2.0,0.0,74.34097464,2.0
32205,2.0,0.0,50.49167873,2.0
92656,2.0,0.0,91.94637317,2.0
62220,2.0,0.0,50.69811321,2.0
36067,2.0,0.0,49.1967978,2.0
94941,2.0,0.0,226.6120245,2.0
60088,2.0,0.0,32.57875648,2.0
60048,2.0,0.0,158.8544006,2.0
92886,2.0,0.0,113.4363063,2.0
98836,2.0,0.0,,2.0
98673,2.0,0.0,,2.0
93041,2.0,0.0,42.77259714,2.0
93420,2.0,0.0,76.10472561,2.0
40121,2.0,0.0,40.54512635,2.0
93505,2.0,0.0,42.6002445,2.0
93955,2.0,0.0,42.71436502,2.0
70634,2.0,0.0,52.80891393,2.0
98628,2.0,0.0,34.22777778,2.0
92057,2.0,0.0,55.12716049,2.0
29461,2.0,0.0,45.84441417,2.0
98416,2.0,0.0,,2.0
98041,2.0,0.0,,2.0
91302,2.0,0.0,236.1206751,2.0
78234,2.0,0.0,43.53896714,2.0
91915,2.0,0.0,74.76129318,2.0
97225,2.0,0.0,95.12907966,2.0
99034,2.0,0.0,44.36153846,2.0
28327,2.0,0.0,52.63879056,2.0
99032,2.0,3.0,42.11935484,0.5
2840,2.0,0.0,62.14577158,2.0
85251,2.0,0.0,71.34727564,2.0
98263,2.0,0.0,,2.0
98950,2.0,0.0,,2.0
92106,2.0,0.0,115.248666,2.0
3042,2.0,0.0,57.9567867,2.0
31909,2.0,0.0,49.09787861,2.0
98283,1.0,2.0,42.08235294,0.3333333333333333
98507,1.0,1.0,,0.5
99131,1.0,0.0,,1.0
98255,1.0,0.0,,1.0
99345,1.0,0.0,,1.0
98411,1.0,0.0,,1.0
99129,1.0,0.0,33.36521739,1.0
99335,1.0,0.0,,1.0
